mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_gqplmrytrlflpf-uhfffaoysa-n,seed_nitrousoxide,R-744A,[N-]=[N+]=O,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_iaqrguvfomomem-arjawskdsa-n,seed_cis_2_butene,,CC=CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_iaqrguvfomomem-onegzznksa-n,seed_trans_2_butene,,CC=CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_jjwkpuradfrfrb-uhfffaoysa-n,seed_carbonylsulfide,,O=C=S,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_jrhmnrmpvrxnos-uhfffaoysa-n,seed_hfe143m,,COC(F)(F)F,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_lvzwsljzhvfiqj-uhfffaoysa-n,seed_cyclopropane,,C1CC1,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_nehmkbqyuwjmip-uhfffaoysa-n,seed_r40,R-40,CCl,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_nlolsxyrjfeota-owojbtedsa-n,seed_r1336mzze,R-1336mzz(E),FC(F)(F)C=CC(F)(F)F,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rahzwnyvwxnfoc-uhfffaoysa-n,seed_sulfurdioxide,R-764,O=S=O,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rmlfhpwptxwznj-uhfffaoysa-n,seed_novec649,,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,B,candidate,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_rtzkzfjdlaiyfh-uhfffaoysa-n,seed_diethylether,,CCOCC,B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,viscosity_liquid_pas,transport.liquid_viscosity,transport.liquid_viscosity,run_cycle,208
